Company	Job	Number of reviews	Overall_Data_Science	Culture & Values_Data_Science	Work/Life Balance_Data_Science	Senior Management_Data_Science	Comp & Benefits_Data_Science	Career Opportunities_Data_Science
Walmart	data+scientist	15498	3.1	2.9	2.7	2.6	2.9	3.2
Cubic	data+scientist	152	3.3	3.2	3.1	2.7	3.2	2.8
Apptio	data+scientist	67	3.6	3.3	3.4	3.1	3.4	2.8
Sotera Defense Solutions	data+scientist	100	3.0	2.9	3.3	2.8	3.4	2.7
National Oilwell Varco	data+scientist	632	3.4	3.3	3.4	2.9	3.4	3.2
MasterCard	data+scientist	471	3.6	3.5	3.6	3.0	3.7	3.2
Vistaprint	data+scientist	175	3.4	3.3	3.8	2.8	4.0	3.3
Machine Zone	data+scientist	79	4.3	4.1	3.6	4.2	4.7	4.5
Turn	data+scientist	89	3.4	3.3	3.4	2.9	3.7	3.2
CGI	data+scientist	2129	3.2	3.2	3.5	2.7	3.0	2.9
Kabam	data+scientist	104	3.8	3.8	4.0	3.5	4.0	3.4
Sprint	data+scientist	3980	3.4	3.3	3.4	3.0	3.6	3.1
Mastech	data+scientist	97	3.4	3.3	3.4	3.3	3.5	3.2
Lawrence Livermore National Laboratory	data+scientist	195	4.0	3.7	4.3	3.1	3.8	3.6
DRS Technologies	data+scientist	290	3.2	3.1	3.3	2.7	3.7	2.9
Jacobs	data+scientist	1109	3.3	3.2	3.4	2.9	3.3	3.1
Cvent	data+scientist	314	3.4	3.5	3.0	3.2	3.0	3.4
TellApart	data+scientist	18	4.9	4.9	4.4	4.9	4.4	4.8
Epicor Software	data+scientist	437	3.5	3.4	3.7	3.3	3.3	3.2
Synopsys	data+scientist	667	3.8	3.9	3.8	3.6	3.4	3.4
Microchip Technology	data+scientist	227	3.5	3.9	4.2	3.4	2.9	3.3
RentPath	data+scientist	165	3.3	3.1	3.6	3.1	3.3	3.2
ADTRAN	data+scientist	91	3.6	3.7	3.9	3.0	3.6	2.9
Nielsen	data+scientist	1803	3.5	3.6	3.3	3.2	3.0	3.5
Electronic Data Systems	data+scientist	13222	3.3	3.4	3.5	2.7	3.1	3.0
Cox Communications	data+scientist	1052	3.5	3.5	3.3	2.9	3.8	3.1
DataStax	data+scientist	68	3.5	3.4	3.4	3.1	3.4	3.3
Ansaldo STS USA	data+scientist	103	2.7	2.3	2.9	1.6	2.8	2.7
Dealertrack	data+scientist	181	3.2	3.3	3.5	2.9	3.2	3.1
Backcountry.com	data+scientist	137	3.0	3.3	3.4	2.5	2.9	2.7
SAY Media	data+scientist	65	2.9	3.4	3.6	2.6	2.9	2.7
AirWatch	data+scientist	328	3.0	2.9	3.0	2.6	3.0	3.0
CNET Networks	data+scientist	60	3.3	3.9	3.8	2.7	3.5	3.1
zulily	data+scientist	338	2.6	2.9	2.6	2.2	2.2	2.6
BlackBerry	data+scientist	1304	3.4	3.1	3.5	2.7	3.8	2.8
Hightail	data+scientist	85	3.3	3.3	3.8	3.0	3.9	3.2
AmTrust Financial	data+scientist	113	2.3	2.2	2.7	2.2	2.6	2.3
iLink-Systems	data+scientist	66	3.3	3.1	3.1	3.0	3.1	3.2
Global Healthcare Exchange	data+scientist	64	2.6	2.8	3.4	2.3	3.4	2.7
Appian	data+scientist	69	4.2	4.3	3.9	4.0	3.9	4.4
Persistent Systems (India)	data+scientist	800	3.4	3.7	3.4	2.8	2.8	3.2
Aruba Networks	data+scientist	126	3.7	3.7	3.3	3.1	4.0	3.4
OpenTable	data+scientist	107	4.4	4.6	4.4	4.2	4.0	4.1
Mindtree	data+scientist	1537	3.2	3.4	3.2	2.9	2.5	3.1
Sony Ericsson Mobile-Global	data+scientist	157	3.4	3.4	3.3	2.7	3.4	3.1
Airbiquity	data+scientist	19	2.5	2.3	3.2	2.1	2.5	2.3
Accruent	data+scientist	189	2.7	2.9	2.7	2.6	2.4	2.9
Slalom Consulting	data+scientist	553	4.2	4.5	4.4	4.1	3.8	4.0
Perceptive Software	data+scientist	368	3.2	3.4	4.0	2.8	3.6	2.8
Johnson Controls	data+scientist	1126	3.3	3.2	3.1	2.6	3.5	3.2
The Church of Jesus Christ of Latter Day Saints	data+scientist	197	4.3	4.4	4.4	3.7	3.9	3.4
Medidata Solutions	data+scientist	132	3.5	3.7	3.2	3.1	3.9	3.4
Nordstrom	data+scientist	4891	3.6	3.8	2.9	3.1	3.4	3.6
Dominion Enterprises	data+scientist	419	3.4	3.5	3.7	3.1	3.0	3.1
Dematic	data+scientist	78	3.5	3.2	2.8	2.8	3.3	3.0
UPS	data+scientist	4566	3.4	3.2	3.1	2.9	3.8	3.4
Liberty Mutual Insurance	data+scientist	1731	3.5	3.5	3.2	3.1	3.8	3.3
Liferay	data+scientist	60	4.1	4.5	4.5	3.8	3.5	3.7
Quixey	data+scientist	42	3.0	3.1	3.4	2.5	3.4	2.7
Playdom	data+scientist	62	3.4	3.3	3.6	2.5	3.5	3.1
Robert Bosch LLC	data+scientist	221	3.6	3.6	3.6	3.0	3.4	3.2
ePrize	data+scientist	58	3.2	3.3	3.3	3.0	3.3	3.0
OpenText	data+scientist	483	2.4	2.4	3.1	1.9	2.8	2.2
BitTitan	data+scientist	34	4.3	4.4	4.5	4.3	4.1	4.2
Susquehanna International Group, LLP	data+scientist	228	4.2	4.2	3.9	3.9	3.7	3.7
Bentley Systems	data+scientist	164	3.7	3.7	4.0	3.3	3.3	3.0
