Company	Job	Number of reviews	Overall	Culture & Values	Work/Life Balance	Senior Management	Comp & Benefits	Career Opportunities

Microsoft	developer	2208	3.8	3.6	3.6	3.1	4.0	3.7	
IBM	developer	626	3.3	3.4	3.6	2.8	3.0	3.3	
