Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Stifel Financial	Overall	"Investment Banking &amp; Asset Management"	Finance	121	3.6	3.6	3.8	3.5	2.8	3.4	0.7	Ronald J. Kruszewski	89
China Construction Bank	Overall	"Banks &amp; Credit Unions"	Finance	117	3.8	3.8	4.0	4.1	3.9	3.9	0.9	Zhang Jianguo	95
Umpqua Bank	Overall	"Banks &amp; Credit Unions"	Finance	114	2.9	3.5	3.4	2.8	2.9	2.5	0.5	Ray Davis	51
First Tennessee Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	110	3.8	3.9	4.1	3.5	3.6	3.3	0.9	D. Bryan Jordan	100
First Convenience Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	108	3.1	3.3	2.5	2.7	2.7	3.4	0.5	Terry Tuggle	69
Bank of America Merchant Services	Overall	Financial Transaction Processing	Finance	107	2.5	2.5	2.9	2.2	3.1	2.2	0.4	Tim Tynan	59
Raiffeisen International	Overall	"Investment Banking &amp; Asset Management"	Finance	93	3.8	0.0	0.0	0.0	0.0	0.0	0.0	Karl Sevelda	100
Federal Reserve Bank of San Francisco	Overall	"Investment Banking &amp; Asset Management"	Finance	81	3.5	3.4	4.1	3.1	3.7	3.3	0.8	John C. Williams	75
Guaranty Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	76	2.3	2.4	2.7	2.3	2.6	2.7	0.3	Doug Levy	42
TD Commerce Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	74	2.9	3.3	3.1	2.7	2.7	3.0	0.4	Mike Pedersen	100
FirstMerit	Overall	"Banks &amp; Credit Unions"	Finance	72	2.8	2.6	2.9	2.4	2.8	2.5	0.4	Paul G. Greig	50
Webster Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	71	3	3.4	3.2	2.6	3.3	3.0	0.5		
Federal Reserve Bank of Chicago	Overall	Federal Agencies	Government	68	3.7	3.7	3.9	3.3	3.6	3.7	0.8	Charles Evans	96
Amegy Corporation	Overall	"Banks &amp; Credit Unions"	Finance	67	3.3	3.5	3.6	3.1	3.0	2.9	0.6	Steve Stephens	100
Astoria Financial	Overall	"Investment Banking &amp; Asset Management"	Finance	65	2.5	2.3	3.0	2.4	2.4	2.2	0.4		
China Merchants Bank	Overall	"Banks &amp; Credit Unions"	Finance	57	4.1	3.8	3.8	3.6	3.4	4.0	0.4	Huiyu Tian	100
"Tobin &amp; Company Investment Banking Group"	Overall	"Staffing &amp; Outsourcing"	Business Services	55	4.8	4.6	4.4	4.4	4.2	4.5	0.9	Timothy M. Tobin	99
Federal Reserve Bank of Richmond	Overall	"Banks &amp; Credit Unions"	Finance	51	3.6	3.8	3.9	3.6	4.1	3.1	0.8	Jeff Lacker	99
Agricultural Bank of China	Overall	"Banks &amp; Credit Unions"	Finance	49	3.3	2.6	3.3	3.5	3.5	3.2	0.0	Zhang Yun	76
China CITIC Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	48	3.8	3.9	4.2	4.1	2.7	3.4	0.8	Chen, Xiaoxian	100
HomeStreet	Overall	"Banks &amp; Credit Unions"	Finance	46	3	3.1	3.1	2.7	3.5	3.0	0.5	Mark K. Mason	87
Sumitomo Mitsui Banking Corporation	Overall	"Investment Banking &amp; Asset Management"	Finance	45	3.4	3.2	3.4	3.3	3.0	2.9	0.6	Takeshi Kunibe	65
TrustCo Bank Corp NY	Overall	"Banks &amp; Credit Unions"	Finance	45	2.8	2.6	3.1	2.7	2.6	3.4	0.6	Robert J. McCormick	79
Investors Bank	Overall	"Banks &amp; Credit Unions"	Finance	43	3.4	3.9	3.1	3.2	2.8	3.7	0.6	Kevin Cummings	80
Florida Community Bank	Overall	"Banks &amp; Credit Unions"	Finance	43	2.8	2.6	2.9	2.6	3.3	2.6	0.4	Kent Ellert	48
Federal Reserve Bank of Boston	Overall	"Banks &amp; Credit Unions"	Finance	43	3.6	3.8	4.1	2.9	4.1	3.2	0.8	Eric S. Rosengren	96
Capital Bank	Overall	"Banks &amp; Credit Unions"	Finance	42	2.2	2.1	2.6	2.0	2.2	2.0	0.3	R. Eugene Taylor	19
Bank Hapoalim	Overall	"Banks &amp; Credit Unions"	Finance	39	3.3	4.0	3.7	3.3	3.3	3.6	0.7	Zion Kenan	59
Federal Reserve Bank of St. Louis	Overall	Federal Agencies	Government	37	3.6	3.3	4.2	3.1	4.0	3.4	0.6	James Bullard	93
The Federal Savings Bank	Overall	"Banks &amp; Credit Unions"	Finance	36	3.6	3.4	3.5	3.5	3.1	3.6	0.6	Stephen M. Calk	79
Hancock Holding	Overall	"Banks &amp; Credit Unions"	Finance	36	3.3	3.3	3.3	3.1	3.6	2.7	0.5	John M. Hairston	37
National Penn Bank	Overall	"Banks &amp; Credit Unions"	Finance	36	2.6	2.9	2.8	2.2	2.2	2.7	0.4	Scott V. Fainor	49
CalFirst	Overall	"Banks &amp; Credit Unions"	Finance	35	3.1	2.8	3.9	2.8	3.2	2.6	0.5	Patrick E. Paddon	66
Beneficial Bank	Overall	"Banks &amp; Credit Unions"	Finance	34	3.2	3.5	3.3	2.9	2.8	2.9	0.5	Gerard P. Cuddy	83
"Boston Private Bank &amp; Trust Company"	Overall	"Investment Banking &amp; Asset Management"	Finance	34	3.2	3.6	3.9	3.2	3.0	3.1	0.7	Mark D. Thompson	73
TCF Financial	Overall	"Banks &amp; Credit Unions"	Finance	34	2.8	2.1	2.3	2.4	2.4	3.4	0.5	William A. Cooper	53
Eastern Bank	Overall	"Banks &amp; Credit Unions"	Finance	34	3.3	3.6	3.5	3.3	3.3	3.4	0.6	Richard E. Holbrook	78
Finca International	Overall	Social Assistance	Non-Profit	34	3.5	3.9	3.2	3.5	3.1	2.9	0.8	Rupert Scofield	83
American Savings Bank	Overall	"Banks &amp; Credit Unions"	Finance	33	4.1	4.4	3.8	4.1	3.9	3.7	0.8	Richard F. (Rich) Wacker	97
First Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	33	4.1	3.8	4.0	3.7	3.5	3.4	0.8	William Moran Jr.	100
FHLB Dallas	Overall	"Banks &amp; Credit Unions"	Finance	32	2.5	2.9	2.5	2.6	3.3	2.7	0.5	Sanjay K. Bhasin	53
Great Southern Bancorp	Overall	"Banks &amp; Credit Unions"	Finance	32	2.8	3.3	3.3	2.9	2.7	2.7	0.7	Joe Turner	76
China Minsheng Banking	Overall	"Banks &amp; Credit Unions"	Finance	31	4.3	3.8	3.5	3.8	4.0	4.0	0.6	Hong Qi	100
PlainsCapital	Overall	"Banks &amp; Credit Unions"	Finance	30	3.4	4.3	3.8	3.0	3.1	3.5	0.6	Alan B. White	77
Federal Reserve Bank of Cleveland	Overall	"Banks &amp; Credit Unions"	Finance	30	3.3	3.3	3.0	2.9	4.0	2.8	0.6	Loretta J. Mester	100
Armed Forces Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	30	2.3	2.6	2.9	2.7	2.0	2.0	0.3	Eugenia Winklebauer	35
FHLBank San Francisco	Overall	"Banks &amp; Credit Unions"	Finance	29	3.5	3.1	4.0	3.2	3.8	2.6	0.7	Dean Schultz	87
Square 1 Bank	Overall	"Banks &amp; Credit Unions"	Finance	29	4.2	4.4	4.3	4.0	4.1	4.1	0.9	Doug Bowers	100
Washington Trust Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	29	3.1	3.9	3.8	3.3	3.3	2.7	0.6	Peter Stanton	90
The Private Bank	Overall	"Banks &amp; Credit Unions"	Finance	28	3.3	3.5	3.8	3.4	3.8	3.3	0.8	Larry Richman	82
Mechanics Bank	Overall	"Banks &amp; Credit Unions"	Finance	28	2.6	2.3	2.9	1.9	2.6	2.0	0.1	Steven K. Buster	17
Talmer Bank and Trust	Overall	"Banks &amp; Credit Unions"	Finance	27	3.6	3.8	3.5	3.6	3.5	3.6	0.7	David T. Provost	85
NBT Bancorp	Overall	"Banks &amp; Credit Unions"	Finance	26	3.3	3.5	3.5	3.4	2.7	3.1	0.7	Martin A. Dietrich	60
Bank of the Ozarks	Overall	"Banks &amp; Credit Unions"	Finance	26	2.2	2.4	3.0	1.9	2.2	2.2	0.3	George G. Gleason	45
AgFirst	Overall	Lending	Finance	26	3.3	3.4	3.5	3.0	3.6	2.9	0.6	Tim Amerson	59
Food Bank For New York City	Overall	Industrial Manufacturing	Manufacturing	26	2.3	2.3	2.5	2.1	3.1	2.4	0.3	Margarette Purvis	48
Flushing Bank	Overall	"Banks &amp; Credit Unions"	Finance	25	2.4	2.2	2.8	1.8	2.3	1.9	0.2	John Buran	53
Texas Capital Bank	Overall	"Banks &amp; Credit Unions"	Finance	25	3.9	4.3	4.3	3.9	4.2	3.8	0.8	Keith Cargill	100
Aurora Bank FSB	Overall	"Investment Banking &amp; Asset Management"	Finance	25	3.5	4.0	3.7	3.4	4.1	3.2	0.6		
Northwest Savings Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	24	2.8	3.0	3.3	2.9	3.8	2.8	0.5	William J. Wagner	66
Bank Leumi USA	Overall	"Banks &amp; Credit Unions"	Finance	24	3.8	3.5	4.0	3.6	3.2	2.8	0.7	Avner Mendelson	100
Bank Mutual	Overall	"Banks &amp; Credit Unions"	Finance	24	2.1	1.9	2.7	2.0	2.4	1.8	0.2	David A. Baumgarten	0
Western Alliance Bank	Overall	"Banks &amp; Credit Unions"	Finance	23	1.9	2.0	2.4	2.0	2.5	2.0	0.2	Robert G. Sarver	69
Hanmi Financial	Overall	"Banks &amp; Credit Unions"	Finance	23	2.5	2.0	2.7	2.2	2.9	2.4	0.1	Jay S. Yoo	18
Nevada State Bank	Overall	"Banks &amp; Credit Unions"	Finance	23	3.1	3.5	2.9	2.9	2.6	3.2	0.4	Dallas E. Haun	71
United Bankshares	Overall	"Investment Banking &amp; Asset Management"	Finance	23	3.2	3.3	3.6	3.2	2.5	2.8	0.8	Richard M. Adams	86
First American Bank	Overall	"Banks &amp; Credit Unions"	Finance	23	2.4	2.2	3.0	2.4	2.3	2.0	0.2	Thomas Wells IV	0
"Union Bank &amp; Trust"	Overall	"Banks &amp; Credit Unions"	Finance	22	3.3	3.5	3.0	3.4	3.5	3.2	0.7		
Bank of Texas	Overall	"Banks &amp; Credit Unions"	Finance	22	2.6	2.9	2.9	2.6	2.9	2.4	0.4		
Union Bank (Michigan)	Overall	"Banks &amp; Credit Unions"	Finance	22	3.3	3.5	3.0	3.4	3.5	3.2	0.7		
Federal Reserve Bank of Minneapolis	Overall	"Banks &amp; Credit Unions"	Finance	22	3.1	3.2	3.4	3.1	3.7	2.8	0.7	Narayana Kocherlakota	84
Community Bank	Overall	"Banks &amp; Credit Unions"	Finance	22	2.7	2.5	3.3	2.6	2.8	2.7	0.5	David P. Malone	47
Doral Financial	Overall	"Banks &amp; Credit Unions"	Finance	22	2.9	3.0	3.0	2.3	3.3	2.8	0.3	Glen R. Wakeman	38
Frost National Bank	Overall			21	3.7	4.1	4.1	3.4	2.9	2.8	0.9		
Sumitomo Mitsui Trust Bank	Overall	"Banks &amp; Credit Unions"	Finance	21	3	2.3	3.1	2.7	3.1	2.4	0.4	Hitoshi Tsunekage	100
CARE	Overall	"Investment Banking &amp; Asset Management"	Finance	21	3.3	3.3	3.1	2.5	3.2	3.1	0.7	Worth Carter Jr	100
CLS Bank International	Overall	"Investment Banking &amp; Asset Management"	Finance	21	2.1	2.4	3.2	2.1	3.0	1.9	0.2		
"Columbia Bank (WA, OR &amp; ID)"	Overall	"Banks &amp; Credit Unions"	Finance	20	3.5	4.2	4.2	3.2	3.1	3.6	0.8	Melanie J. Dressel	77
Tri Counties Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	20	2.7	2.9	3.1	2.8	2.8	2.7	0.4	Richard P. Smith	100
First Fidelity Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	20	3.4	3.4	3.6	3.0	3.4	3.1	0.8	Lee Symcox	100
Bank Midwest	Overall	"Investment Banking &amp; Asset Management"	Finance	20	2.8	2.6	2.8	2.4	3.0	2.9	0.4	Thomas M. Metzger	60
Cole Taylor Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	20	3.7	4.1	3.6	3.6	3.6	3.2	0.7	Mark A Hoppe	85
Capitol Federal Financial	Overall	"Banks &amp; Credit Unions"	Finance	19	3.4	3.7	3.8	3.4	2.7	2.8	0.7	John B. Dicus	77
First National Bank of PA	Overall	"Banks &amp; Credit Unions"	Finance	19	3.5	3.8	3.7	3.1	3.4	3.6	0.7	Vincent J. Delie, Jr.	80
Amalgamated Bank	Overall	"Banks &amp; Credit Unions"	Finance	19	2.5	3.0	3.0	2.3	3.2	2.4	0.6	Keith Mestrich	52
National Bank of Arizona	Overall	"Banks &amp; Credit Unions"	Finance	19	2.6	2.6	2.9	2.5	2.2	2.4	0.3	Mark R. Young	0
FHLB Seattle	Overall	"Banks &amp; Credit Unions"	Finance	18	4	4.1	4.1	3.8	4.3	3.3	0.8		
Salem Five Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	18	3.1	3.3	3.1	2.9	3.3	3.2	0.8	Joseph M. Gibbons	100
Bank of America Securities	Overall			18	3.4	2.7	2.8	3.1	4.1	3.9	0.8	Brian T. Moynihan	72
Avaloq	Overall	"Enterprise Software &amp; Network Solutions"	Information Technology	17	3.6	0.0	0.0	0.0	0.0	0.0	0.0	Francisco Fernandez	68
The Bancorp	Overall	"Banks &amp; Credit Unions"	Finance	17	3.6	3.4	3.9	3.5	3.5	3.3	0.7	Betsy Z. Cohen	100
Mutual of Omaha Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	17	2.6	2.5	3.2	2.1	2.9	2.2	0.2	Jeffrey Schmid	60
Cambridge Savings Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	17	2.9	3.0	2.9	2.0	3.3	2.3	0.4	Wayne Patenaude	81
Capital City Bank	Overall	"Banks &amp; Credit Unions"	Finance	17	3.8	4.1	3.9	3.8	3.7	3.8	0.9	William G. Smith Jr.	100
First Banks	Overall	"Banks &amp; Credit Unions"	Finance	17	3	2.8	3.1	2.8	3.0	2.6	0.5	Terry McCarthy	53
Heritage Bank	Overall	"Banks &amp; Credit Unions"	Finance	17	3.3	3.1	3.1	2.6	2.8	3.0	0.4	Jeff Deuel	100
China Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	16	3.5	0.0	0.0	0.0	0.0	0.0	0.0		
North TX Food Bank	Overall	Social Assistance	Non-Profit	16	2.7	2.8	2.6	2.4	3.5	2.6	0.3		
BSI Financial	Overall	Lending	Finance	16	3.1	3.3	3.6	3.0	3.4	3.3	0.6	Gagan Sharma	81
Centier Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	16	4.3	4.3	4.0	4.1	3.5	3.5	0.9	Patrick C Morrissey and Steve Watts	100
Admirals Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	16	2.8	2.5	3.1	2.2	3.2	2.1	0.4	Nicholas W. Lazares	56
Heartland Bank and Trust Company	Overall	"Banks &amp; Credit Unions"	Finance	16	2.3	2.7	2.7	2.0	1.6	1.9	0.1	Fred L. Drake	14
SBC	Overall	"Investment Banking &amp; Asset Management"	Finance	16	3.8	3.2	3.2	2.8	4.1	3.4	0.6	Charles M. Shea	79
Brookline Bancorp	Overall	"Banks &amp; Credit Unions"	Finance	16	3.2	3.6	3.9	3.4	3.0	3.3	0.8	Paul A. Perrault	84
Zoot Enterprises	Overall	"Computer Hardware &amp; Software"	Information Technology	15	2.8	3.2	3.4	2.5	2.7	2.5	0.5	Chris Nelson	67
American Bank Holdings	Overall	"Banks &amp; Credit Unions"	Finance	15	2.5	2.8	3.2	2.7	3.2	2.6	0.3	James E. Plack	44
Boone County National Bank	Overall	"Banks &amp; Credit Unions"	Finance	15	3.5	3.4	3.4	3.4	2.8	3.1	0.7	Steve Erdel	100
Sterling Bank	Overall	"Banks &amp; Credit Unions"	Finance	15	3.8	3.9	3.6	3.7	3.4	2.8	0.8	Ezra Eckhardt	87
Bank of the Cascades	Overall	"Banks &amp; Credit Unions"	Finance	15	2.2	2.2	2.3	1.9	2.3	2.0	0.3	Terry E. Zink	0
Peoples Banking Unusual	Overall	"Investment Banking &amp; Asset Management"	Finance	14	3.6	3.6	4.1	3.4	2.9	3.0	0.6	Wint Winter, Jr	74
East Bank Club Venture	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	14	4.2	4.0	3.8	3.5	4.2	3.2	0.8	Daniel Levin	100
Gibraltar Private Bank	Overall	"Banks &amp; Credit Unions"	Finance	14	2.4	1.8	2.4	1.7	2.9	1.8	0.1	Adolfo Henriques	55
Leader Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	14	2.3	2.5	2.6	2.8	2.1	2.5	0.4	Sushil K. Tuli	55
Landmark Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	14	3.8	4.0	4.1	3.6	3.5	3.2	0.8	Jeff MacLellan	100
FHLBank Topeka	Overall	"Banks &amp; Credit Unions"	Finance	14	3.4	3.1	4.0	2.8	3.7	2.8	0.7	Andy Jetter	100
Citizens Business Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	13	3.3	3.1	3.1	3.0	3.3	3.3	0.4	Christopher D. Myers	50
West Valley National Bank	Overall	"Banks &amp; Credit Unions"	Finance	13	2.9	2.6	2.5	2.7	2.8	2.8	0.4	Candace D. Wiest	38
AMG National Trust Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	13	4.2	4.1	4.1	4.0	3.7	3.9	0.8	Earl Wright	82
First Security Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	13	3.6	3.4	3.7	3.1	2.8	2.6	0.3	Reynie Rutledge	100
Sabadell United Bank	Overall	"Banks &amp; Credit Unions"	Finance	13	2.4	2.1	1.9	2.1	2.4	2.3	0.3		
Fort Sill National Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	13	2.6	2.4	3.2	2.0	2.3	2.2	0.5	John Davis	83
