Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Bloom Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	84	3	2.9	2.9	2.4	2.5	2.6	0.5	K.R. Sridhar	63
Key Energy Services	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	83	2.6	2.8	2.8	2.2	2.8	2.4	0.4	Dick Alario	61
P2 Energy Solutions	Overall	"Enterprise Software &amp; Network Solutions"	Information Technology	81	3.2	3.3	3.5	3.0	2.8	2.6	0.5	Amy Zupon	88
Bruker	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	81	2.8	3.1	3.3	2.5	3.1	2.6	0.4	Frank H. Laukien	46
PPL	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	80	3.7	3.6	3.9	3.4	3.8	3.2	0.8	William H. Spence	75
Monster Energy	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	79	4.3	4.1	4.3	3.7	3.6	3.4	0.8	Rodney C. Sacks	97
Wood Group	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	79	2.9	3.0	3.1	2.5	3.7	2.9	0.7	Bob Keiller	73
SNH	Overall	"Financial Analytics &amp; Research"	Finance	74	3.9	3.6	3.7	3.7	3.3	3.7	0.8	Jevin Sackett	82
Sempra Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	73	4.1	3.6	3.8	3.5	3.8	3.3	0.8	Debra Reed	96
RGS Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	72	2.3	2.5	2.9	2.0	2.3	2.3	0.3	Dennis Lacey	38
Southwestern Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	70	3.6	3.1	3.3	3.0	4.0	3.0	0.7	Steven L. Mueller	61
Spectra Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	70	3.7	3.8	4.0	3.3	3.6	3.3	0.8	Greg Ebel	99
Global Efficient Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	68	2.8	2.6	2.6	2.8	3.3	2.8	0.4	Abe Issa	46
SCANA	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	65	3.4	3.6	3.8	3.1	3.2	3.0	0.7	Kevin Marsh	74
