Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Champps Americana	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	49	3.2	3.0	2.9	3.0	2.6	2.4	0.6	Dean Vlahos	59
Marvel Entertainment	Overall	"Motion Picture Production &amp; Distribution"	Media	48	2.5	2.7	2.9	2.2	2.1	2.2	0.4	"Isaac ""Ike"" Perlmutter"	29
King	Overall	Internet	Information Technology	47	4	0.0	0.0	0.0	0.0	0.0	0.0	Riccardo Zacconi	100
CeX Webuy Entertainment	Overall	"Computer Hardware &amp; Software"	Information Technology	45	3	3.1	2.9	3.1	1.6	2.9	0.5	Robert Dudani	0
CBS TV Distribution	Overall	"TV Broadcast &amp; Cable Networks"	Media	44	3.5	2.9	3.6	3.4	3.2	3.1	0.8	Aaron Meyerson	61
Gaylord Entertainment	Overall	"Hotels, Motels, &amp; Resorts"	"Travel &amp; Tourism"	44	3.9	4.2	3.2	3.3	3.3	3.5	0.7	Colin V. Reed	89
Palace Entertainment	Overall	"Museums, Zoos &amp; Amusement Parks"	"Arts, Entertainment &amp; Recreation"	43	3.2	2.9	3.6	2.9	2.9	3.3	0.6	Fernando Eiroa	59
Sleepy Giant Entertainment	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	40	2.7	3.0	3.2	2.3	2.3	2.2	0.3	Matthew Hannus	26
LucasArts	Overall	Video Games	Media	40	4.1	3.6	3.6	2.9	3.0	3.2	0.5	Kevin Parker	84
R-E-D	Overall	Consulting	Business Services	40	3.7	2.3	1.8	2.5	2.8	2.1	0.6	Andy McRae	84
Konami Digital Entertainment	Overall			39	2.6	2.0	2.4	1.8	3.2	2.4	0.2		
Ripley Entertainment	Overall	"Museums, Zoos &amp; Amusement Parks"	"Arts, Entertainment &amp; Recreation"	37	2.9	2.8	3.0	2.7	2.4	2.6	0.5	Jim Pattison Jr.	51
E! Entertainment Television	Overall	"TV Broadcast &amp; Cable Networks"	Media	36	3.2	3.5	3.6	3.1	3.0	3.3	0.7	Stephen Burke	85
"Maple Leaf Sports &amp; Entertainment"	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	36	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Richard A. Peddie	79
