Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
EnviroMedia	Overall	"Advertising &amp; Marketing"	Business Services	13	2.9	3.3	3.4	2.7	3.1	3.2	0.5	Valerie Davis	12
Episcopal Social Services of NY	Overall	Social Assistance	Non-Profit	13	2.8	3.2	3.0	2.4	2.8	3.3	0.6	Elizabeth McCarthy	82
Alameda County Social Services	Overall	Municipal Governments	Government	13	3.7	3.4	3.6	3.6	3.7	3.3	0.6		
Social Media Link	Overall	Accounting	"Accounting &amp; Legal"	12	3.4	3.3	3.2	3.4	3.0	3.3	0.5	Susan Frech	87
Chesterfield County, Virginia	Overall	Municipal Governments	Government	12	3.2	3.2	3.5	2.9	3.0	2.6	0.7		
Diakon Lutheran Social Ministries	Overall	"Health Care Services &amp; Hospitals"	Health Care	12	2.8	2.3	2.4	2.1	2.9	2.2	0.2	Rev Daun E. McKee	57
IMSS	Overall	Federal Agencies	Government	12	3.8	0.0	0.0	0.0	0.0	0.0	0.0		
Indiana Family and Social Services Administration	Overall	"State &amp; Regional Agencies"	Government	11	2.8	2.2	2.8	2.2	2.7	2.6	0.5		
Social Development Commission	Overall	"State &amp; Regional Agencies"	Government	11	2.9	2.4	2.9	2.1	3.1	2.4	0.5		
Lutheran Social Services of the South	Overall	"Health Care Services &amp; Hospitals"	Health Care	11	2.9	2.9	2.7	2.1	3.0	2.3	0.5		
